Nombre,Fabricante,Escala,Serie,Original,Fecha de lanzamiento,Precio venta,Precio especial,Código JAN,Embalaje,Peso
MS-14S Char`s Gelgoog ,Bandai,"Master Grade , 1/100",MG Gundam,Mobile Suit Gundam,"3,240yenabout28.43USD","23.69USD

",sO,0055164,null,null
MS-06R-2 Zaku II ,Bandai,"Master Grade , 1/100",MG MSV,Mobile Suit Gundam,"3,024yenabout26.53USD","22.11USD

",sO,0053605, 31.2 x 20.2 x 10.5 cm , 570g
MS-06R-1 Zaku II ,Bandai,"Master Grade , 1/100",MG MSV,Mobile Suit Gundam,"3,024yenabout26.53USD","22.11USD

",sO,0053282, 31.2 x 20.3 x 10.3 cm , 562g
MSZ-006 Zeta Gundam ,Bandai,"Master Grade , 1/100",MG Z Gundam,Mobile Suit Gundam,"3,240yenabout28.43USD","23.69USD

",sO,0052673, 732g,null
RX-78-3 G-3 Gundam ,Bandai,"Master Grade , 1/100",MG MSV,Mobile Suit Gundam,"2,700yenabout23.69USD","19.74USD

",sO,0052969, 31.4 x 20.5 x 8.5 cm , 481g
MS-06F/J  Zaku II ,Bandai,"Master Grade , 1/100",MG Gundam,Mobile Suit Gundam,"2,700yenabout23.69USD","19.74USD

",sO,0048517, 31 x 20 x 7.7 cm , 516g
MS-06S Char`s Zaku II ,Bandai,"Master Grade , 1/100",MG Gundam,Mobile Suit Gundam,"2,700yenabout23.69USD","19.74USD

",sO,0048290, 31 x 20 x 7.7 cm , 500g
RX-78-2 Gundam ,Bandai,"Master Grade , 1/100",MG Gundam,Mobile Suit Gundam,"Jul., 1995",23.69USD,19.74USD,4902425481296, 31.5 x 20.3 x 8.5 cm , 479g
RX-78NT1 Gundam NT-1 ,Bandai,"Master Grade , 1/100",MG Other Gundam,Mobile Suit Gundam,"3,240yenabout28.43USD","23.69USD

",sO,0070949, 31 x 20 x 10 cm , 612g
RX-78 GP02A GUNDAM GP02 PHYSALIS ,Bandai,"Master Grade , 1/100",MG Gundam 0083,Mobile Suit Gundam,"6,480yenabout56.85USD","47.38USD

",sO,0074897,null,null
